PageRank	Ids
0.2453028327785001	World
0.06158368837235396	North America
0.05638511519695479	North American Free Trade Agreement (NAFTA)
0.04146863809268718	United States of America
0.03573369979893991	Extra NAFTA Trade
0.012482335780883366	Developed Economies
0.011522589883208837	Europe
0.011521761184581552	Asia
0.009853974281254917	European Union (28)
0.006676966737323583	European Union (27)
0.003487470249315796	Developing Asia
0.003327193578606377	China
0.0029096226696963706	Four East Asian traders
0.002758668151852911	South and Central America and the Caribbean
0.0023771295053925754	Japan
0.002342389629572594	Mexico
0.0016543573769550923	Six East Asian traders
0.0015978858958308288	Other Asia
0.0013546200722681092	Middle East
0.0010915973037223439	Extra EU Trade
0.001029524073458245	Developed Asia
0.0010035144747910414	Africa
0.0008175804248307015	Other Africa
0.0008010447861609734	Non-EU Western Europe
0.0007104294544902469	Australia and New Zealand
0.000599512870928691	India
0.0005883458778527203	Brazil
0.0005153648501493001	Commonwealth of Independent States (CIS), including associate and former member States
0.0003552632913514969	Russian Federation
0.0003271386270292194	Non-EU south-eastern Europe
0.000310659974061915	Least-developed countries, current membership
0.00018594208764200856	South Africa
0.00017173284797558912	Extra Pacific Alliance Trade
0.0001600910666374288	Other CIS (CIS11)
0.00011119404661942611	Extra MERCOSUR Trade
7.590012636937395e-06	Southern Common Market (MERCOSUR)
1.6902683205685455e-06	Pacific Alliance
0	Zimbabwe
0	Zambia
0	Yugoslavia, Socialist Federal Republic of
0	Yemen, People's Democratic Republic
0	Yemen, Arab Republic of
0	Yemen
0	World excluding Hong Kong re-exports
0.0	West African Economic and Monetary Union (WAEMU)
0	Wallis and Futuna Islands
0	WTO Observer governments
0	WTO Member Countries
0	Virgin Islands, British
0	Viet Nam
0	Venezuela, Bolivarian Republic of
0	Vanuatu
0	Uzbekistan
0	Uruguay
0	United Kingdom
0	United Arab Emirates
0	Ukraine
0	Uganda
0	U.S.S.R.
0	Tuvalu
0	Turks and Caicos Islands
0	Turkmenistan
0	Turkey
0	Tunisia
0	Trinidad and Tobago
0	Tonga
0	Tokelau
0	Togo
0	Timor-Leste
0	The former Yugoslav Republic of Macedonia
0	The Gambia
0	Thailand
0	Tanzania
0	Tajikistan
0	Syrian Arab Republic
0	Switzerland
0	Sweden
0	Suriname
0	Sudan
0	Sri Lanka
0	Spain
0.0	Southern African Development Community (SADC)
0	Somalia
0	Solomon Islands
0	Slovenia
0	Slovak Republic
0	Singapore
0	Sierra Leone
0	Seychelles
0	Serbia and Montenegro
0	Serbia
0	Senegal
0	Saudi Arabia, Kingdom of
0	Sao Tomé and Principe
0	Samoa
0	Saint Vincent and the Grenadines
0	Saint Pierre and Miquelon
0	Saint Martin
0	Saint Lucia
0	Saint Kitts and Nevis
0	Saint Helena
0	SAFTA (South Asian Free Trade Agreement)
0	Rwanda
0	Romania
0	Reunion
0	Qatar
0	Portugal
0	Poland
0	Philippines
0	Peru
0	Paraguay
0	Papua New Guinea
0	Panama
0	Palau
0	Pakistan
0	Oman
0	Norway
0	Northern Mariana Islands
0	Niue
0	Nigeria
0	Niger
0	Nicaragua
0	New Zealand
0	New Caledonia
0	Netherlands Antilles (incl. Aruba)
0	Netherlands Antilles
0	Netherlands
0	Nepal
0	Nauru
0	Namibia
0	Myanmar
0	Mozambique
0	Morocco
0	Montserrat
0	Montenegro
0	Mongolia
0	Moldova, Republic of
0	Micronesia, Federated States of
0	Mauritius
0	Mauritania
0	Martinique
0	Marshall Islands
0	Malta
0	Mali
0	Maldives
0	Malaysia
0	Malawi
0	Madagascar
0	Macao, China
0	Luxembourg
0	Lithuania
0	Libya
0	Liberia
0	Lesotho
0	Lebanese Republic
0	Latvia
0	Lao People's Democratic Republic
0	LDC oil exporters
0	LDC non-fuel mineral exporters
0	LDC exporters of manufactures
0	LDC exporters of agriculture
0	Kyrgyz Republic
0	Kuwait, the State of
0	Korea, Republic of
0	Korea, Democratic People's Republic of
0	Kiribati
0	Kenya
0	Kazakhstan
0	Jordan
0	Jamaica
0	Italy
0	Israel
0	Ireland
0	Iraq
0	Iran
0	Indonesia
0	Iceland
0	Hungary
0	Hong Kong, China
0	Honduras
0	Haiti
0	Guyana
0	Gulf Cooperation Council (GCC)
0	Guinea-Bissau
0	Guinea
0	Guatemala
0	Guam
0	Guadeloupe
0	Grenada
0	Greenland
0	Greece
0	Gibraltar
0	Ghana
0	Germany, Federal Republic of
0	Germany
0	German Democratic Republic
0	Georgia
0	Gabon
0	G20 Members
0	French Southern Territories
0	French Polynesia
0	French Guiana
0	France
0	Finland
0	Fiji
0	Faeroe Islands
0.0	Extra WAEMU Trade
0.0	Extra SADC Trade
0.0	Extra ECOWAS Trade
0.0	Extra COMESA Trade
0.0	Extra CEMAC Trade
0.0	Extra Andean Community Trade
0.0	Extra ASEAN Trade
0	European Union (15)
0	Euro Area (19)
0	Ethiopia (+ Eritrea)
0	Ethiopia
0	Eswatini
0	Estonia
0	Eritrea
0	Equatorial Guinea
0	El Salvador
0	Egypt
0	Ecuador
0	EFTA (European Free Trade Association)
0.0	ECOWAS (Economic Community of West African States)
0	Dominican Republic
0	Dominica
0	Djibouti
0	Developing and Emerging Economies
0	Denmark
