#this is an empty line
#this is an empty line
#this is an empty line
#this is an empty line
"Afghanistan"	"World"	
"Africa"	"World"	
"Africa"	"Developing Asia"	
"Africa"	"Non-EU south-eastern Europe"	
"Africa"	"Developed Asia"	
"Africa"	"Mexico"	
"Africa"	"Russian Federation"	
"Africa"	"European Union (27)"	
"Africa"	"China"	
"Africa"	"Europe"	
"Africa"	"Six East Asian traders"	
"Africa"	"Four East Asian traders"	
"Africa"	"Other Africa"	
"Africa"	"Africa"	
"Africa"	"North America"	
"Africa"	"Other CIS (CIS11)"	
"Africa"	"European Union (28)"	
"Africa"	"Developed Economies"	
"Africa"	"Middle East"	
"Africa"	"India"	
"Africa"	"Japan"	
"Africa"	"South and Central America and the Caribbean"	
"Africa"	"Brazil"	
"Africa"	"Other Asia"	
"Africa"	"Asia"	
"Africa"	"South Africa"	
"Africa"	"United States of America"	
"Africa"	"Non-EU Western Europe"	
"Africa"	"Australia and New Zealand"	
"Albania"	"World"	
"Algeria"	"World"	
"American Samoa"	"World"	
"Andean Community (ANDEAN)"	"World"	
"Andean Community (ANDEAN)"	"Four East Asian traders"	
"Andean Community (ANDEAN)"	"Europe"	
"Andean Community (ANDEAN)"	"Other Africa"	
"Andean Community (ANDEAN)"	"Other Asia"	
"Andean Community (ANDEAN)"	"Australia and New Zealand"	
"Andean Community (ANDEAN)"	"North America"	
"Andean Community (ANDEAN)"	"Russian Federation"	
"Andean Community (ANDEAN)"	"Andean Community (ANDEAN)"	
"Andean Community (ANDEAN)"	"Japan"	
"Andean Community (ANDEAN)"	"Middle East"	
"Andean Community (ANDEAN)"	"South and Central America and the Caribbean"	
"Andean Community (ANDEAN)"	"China"	
"Andean Community (ANDEAN)"	"Non-EU Western Europe"	
"Andean Community (ANDEAN)"	"South Africa"	
"Andean Community (ANDEAN)"	"Other CIS (CIS11)"	
"Andean Community (ANDEAN)"	"European Union (28)"	
"Andean Community (ANDEAN)"	"Extra Andean Community Trade"	
"Andean Community (ANDEAN)"	"European Union (27)"	
"Andean Community (ANDEAN)"	"Africa"	
"Andean Community (ANDEAN)"	"India"	
"Andean Community (ANDEAN)"	"Asia"	
"Andean Community (ANDEAN)"	"Non-EU south-eastern Europe"	
"Andean Community (ANDEAN)"	"United States of America"	
"Andean Community (ANDEAN)"	"Brazil"	
"Andean Community (ANDEAN)"	"Mexico"	
"Andorra"	"World"	
"Angola"	"World"	
"Anguilla"	"World"	
"Antigua and Barbuda"	"World"	
"Argentina"	"World"	
"Argentina"	"Russian Federation"	
"Argentina"	"Australia and New Zealand"	
"Argentina"	"Middle East"	
"Argentina"	"Extra MERCOSUR Trade"	
"Argentina"	"Other CIS (CIS11)"	
"Argentina"	"Africa"	
"Argentina"	"Asia"	
"Argentina"	"Other Africa"	
"Argentina"	"Other Asia"	
"Argentina"	"European Union (28)"	
"Argentina"	"Southern Common Market (MERCOSUR)"	
"Argentina"	"South and Central America and the Caribbean"	
"Argentina"	"Non-EU south-eastern Europe"	
"Argentina"	"Japan"	
"Argentina"	"India"	
"Argentina"	"Europe"	
"Argentina"	"Non-EU Western Europe"	
"Argentina"	"North America"	
"Argentina"	"South Africa"	
"Argentina"	"Four East Asian traders"	
"Argentina"	"China"	
"Argentina"	"United States of America"	
"Argentina"	"Mexico"	
"Argentina"	"Brazil"	
"Armenia"	"World"	
"Asia"	"World"	
"Asia excluding Hong Kong re-exports"	"Other Africa"	
"Asia excluding Hong Kong re-exports"	"South and Central America and the Caribbean"	
"Asia excluding Hong Kong re-exports"	"North America"	
"Asia excluding Hong Kong re-exports"	"Asia"	
"Asia excluding Hong Kong re-exports"	"China"	
"Asia excluding Hong Kong re-exports"	"Other Asia"	
"Asia excluding Hong Kong re-exports"	"Four East Asian traders"	
"Asia excluding Hong Kong re-exports"	"Developed Economies"	
"Asia excluding Hong Kong re-exports"	"Developed Asia"	
"Asia excluding Hong Kong re-exports"	"Developing Asia"	
"Asia excluding Hong Kong re-exports"	"Other CIS (CIS11)"	
"Asia excluding Hong Kong re-exports"	"India"	
"Asia excluding Hong Kong re-exports"	"South Africa"	
"Asia excluding Hong Kong re-exports"	"Europe"	
"Asia excluding Hong Kong re-exports"	"European Union (28)"	
"Asia excluding Hong Kong re-exports"	"World"	
"Asia excluding Hong Kong re-exports"	"Brazil"	
"Asia excluding Hong Kong re-exports"	"Australia and New Zealand"	
"Asia excluding Hong Kong re-exports"	"Six East Asian traders"	
"Asia excluding Hong Kong re-exports"	"Japan"	
"Asia excluding Hong Kong re-exports"	"European Union (27)"	
"Asia excluding Hong Kong re-exports"	"Non-EU Western Europe"	
"Asia excluding Hong Kong re-exports"	"Mexico"	
"Asia excluding Hong Kong re-exports"	"Africa"	
"Asia excluding Hong Kong re-exports"	"Middle East"	
"Asia excluding Hong Kong re-exports"	"United States of America"	
"Asia excluding Hong Kong re-exports"	"Russian Federation"	
"Asia excluding Hong Kong re-exports"	"Non-EU south-eastern Europe"	
"Asia-Pacific Economic Cooperation (APEC)"	"World"	
"Asia-Pacific Economic Cooperation (APEC)"	"Asia-Pacific Economic Cooperation (APEC)"	
"Association of Southeast Asian Nations (ASEAN)"	"World"	
"Association of Southeast Asian Nations (ASEAN)"	"India"	
"Association of Southeast Asian Nations (ASEAN)"	"Africa"	
"Association of Southeast Asian Nations (ASEAN)"	"Australia and New Zealand"	
"Association of Southeast Asian Nations (ASEAN)"	"Non-EU Western Europe"	
"Association of Southeast Asian Nations (ASEAN)"	"South Africa"	
"Association of Southeast Asian Nations (ASEAN)"	"Other Africa"	
"Association of Southeast Asian Nations (ASEAN)"	"Other Asia"	
"Association of Southeast Asian Nations (ASEAN)"	"China"	
"Association of Southeast Asian Nations (ASEAN)"	"Extra ASEAN Trade"	
"Association of Southeast Asian Nations (ASEAN)"	"Europe"	
"Association of Southeast Asian Nations (ASEAN)"	"United States of America"	
"Association of Southeast Asian Nations (ASEAN)"	"North America"	
"Association of Southeast Asian Nations (ASEAN)"	"Russian Federation"	
"Association of Southeast Asian Nations (ASEAN)"	"Brazil"	
"Association of Southeast Asian Nations (ASEAN)"	"Non-EU south-eastern Europe"	
"Association of Southeast Asian Nations (ASEAN)"	"Other CIS (CIS11)"	
"Association of Southeast Asian Nations (ASEAN)"	"Middle East"	
"Association of Southeast Asian Nations (ASEAN)"	"Mexico"	
"Association of Southeast Asian Nations (ASEAN)"	"European Union (27)"	
"Association of Southeast Asian Nations (ASEAN)"	"European Union (28)"	
"Association of Southeast Asian Nations (ASEAN)"	"South and Central America and the Caribbean"	
"Association of Southeast Asian Nations (ASEAN)"	"Japan"	
"Association of Southeast Asian Nations (ASEAN)"	"Four East Asian traders"	
"Association of Southeast Asian Nations (ASEAN)"	"Association of Southeast Asian Nations (ASEAN)"	
"Association of Southeast Asian Nations (ASEAN)"	"Asia"	
"Australia"	"World"	
"Australia and New Zealand"	"World"	
"Australia and New Zealand"	"Russian Federation"	
"Australia and New Zealand"	"Other Africa"	
"Australia and New Zealand"	"Other CIS (CIS11)"	
"Australia and New Zealand"	"North America"	
"Australia and New Zealand"	"Six East Asian traders"	
"Australia and New Zealand"	"United States of America"	
"Australia and New Zealand"	"China"	
"Australia and New Zealand"	"South and Central America and the Caribbean"	
"Australia and New Zealand"	"Middle East"	
"Australia and New Zealand"	"Japan"	
"Australia and New Zealand"	"Europe"	
"Australia and New Zealand"	"Four East Asian traders"	
"Australia and New Zealand"	"Asia"	
"Australia and New Zealand"	"Mexico"	
"Australia and New Zealand"	"Developed Economies"	
"Australia and New Zealand"	"Africa"	
"Australia and New Zealand"	"India"	
"Australia and New Zealand"	"Developed Asia"	
"Australia and New Zealand"	"Non-EU south-eastern Europe"	
"Australia and New Zealand"	"Developing Asia"	
"Australia and New Zealand"	"Non-EU Western Europe"	
"Australia and New Zealand"	"Brazil"	
"Australia and New Zealand"	"Other Asia"	
"Australia and New Zealand"	"Australia and New Zealand"	
"Australia and New Zealand"	"South Africa"	
"Australia and New Zealand"	"European Union (27)"	
"Australia and New Zealand"	"European Union (28)"	
"Austria"	"World"	
"Azerbaijan"	"World"	
"Bahamas"	"World"	
"Bangladesh"	"World"	
"Barbados"	"World"	
"Belarus"	"World"	
"Belgium"	"World"	
"Belgium-Luxembourg"	"World"	
"Belize"	"World"	
"Benin"	"World"	
"Bermuda"	"World"	
"Bhutan"	"World"	
"Bosnia and Herzegovina"	"World"	
"Botswana"	"World"	
"Brazil"	"World"	
