PageRank	Ids
0.2538620275662682	World
0.035230826318611914	Asia
0.034570254052548384	Developed Economies
0.032266984657411193	Developing Asia
0.018131397882302027	North America
0.016210829888896	Six East Asian traders
0.01575531906343194	Europe
0.014653037887584413	United States of America
0.013580599929048991	European Union (28)
0.012285571359113021	Four East Asian traders
0.011498111628546031	China
0.010026774105926482	European Union (27)
0.00772919894164182	Other Asia
0.0027297338356102267	Middle East
0.002660173776901862	Developed Asia
0.0020348173485610923	Extra NAFTA Trade
0.001974676159634598	South and Central America and the Caribbean
0.0017837270516481438	Australia and New Zealand
0.0015571780712985955	Extra EU Trade
0.0013183418123303848	Mexico
0.0012813860793460027	Africa
0.001188316302931395	Commonwealth of Independent States (CIS), including associate and former member States
0.0009161663078484137	Russian Federation
0.0008742705132786999	Other Africa
0.0008535865855217444	India
0.0007161017105463512	Non-EU Western Europe
0.0006803306516018506	Least-developed countries, current membership
0.0006528292496065108	North American Free Trade Agreement (NAFTA)
0.0005659780954876941	Brazil
0.0004400255644537276	Non-EU south-eastern Europe
0.0004071152725796837	South Africa
0.00027214996083433507	Other CIS (CIS11)
0.0001069664799662049	Extra MERCOSUR Trade
9.665557191326904e-05	Extra Pacific Alliance Trade
7.301442330563181e-06	Southern Common Market (MERCOSUR)
9.513256244562039e-07	Pacific Alliance
0	Zimbabwe
0	Zambia
0	Yugoslavia, Socialist Federal Republic of
0	Yemen, People's Democratic Republic
0	Yemen, Arab Republic of
0	Yemen
0	World excluding Hong Kong re-exports
0.0	West African Economic and Monetary Union (WAEMU)
0	Wallis and Futuna Islands
0	WTO Observer governments
0	WTO Member Countries
0	Virgin Islands, British
0	Viet Nam
0	Venezuela, Bolivarian Republic of
0	Vanuatu
0	Uzbekistan
0	Uruguay
0	United Kingdom
0	United Arab Emirates
0	Ukraine
0	Uganda
0	U.S.S.R.
0	Tuvalu
0	Turks and Caicos Islands
0	Turkmenistan
0	Turkey
0	Tunisia
0	Trinidad and Tobago
0	Tonga
0	Tokelau
0	Togo
0	Timor-Leste
0	The former Yugoslav Republic of Macedonia
0	The Gambia
0	Thailand
0	Tanzania
0	Tajikistan
0	Syrian Arab Republic
0	Switzerland
0	Sweden
0	Suriname
0	Sudan
0	Sri Lanka
0	Spain
0.0	Southern African Development Community (SADC)
0	Somalia
0	Solomon Islands
0	Slovenia
0	Slovak Republic
0	Singapore
0	Sierra Leone
0	Seychelles
0	Serbia and Montenegro
0	Serbia
0	Senegal
0	Saudi Arabia, Kingdom of
0	Sao Tomé and Principe
0	Samoa
0	Saint Vincent and the Grenadines
0	Saint Pierre and Miquelon
0	Saint Martin
0	Saint Lucia
0	Saint Kitts and Nevis
0	Saint Helena
0	SAFTA (South Asian Free Trade Agreement)
0	Rwanda
0	Romania
0	Reunion
0	Qatar
0	Portugal
0	Poland
0	Philippines
0	Peru
0	Paraguay
0	Papua New Guinea
0	Panama
0	Palau
0	Pakistan
0	Oman
0	Norway
0	Northern Mariana Islands
0	Niue
0	Nigeria
