year	wto	kaggle
1988	29284189.13044196	959714.235018
1989	31793474.88530907	1568456.008524
1990	43135611.34052442	1796683.137522
1991	43444455.349650845	2431981.950377
1992	47666073.640330896	3153534.720806
1993	47688772.20614748	3629277.049226
1994	54761344.732518956	4840385.359676
1995	65744106.618919775	6095594.080045
1996	68967281.57424402	6484043.176404
1997	71515285.17813948	6870079.357522
1998	70804092.23402992	6815281.282485
1999	81410938.60704878	7030754.669762
2000	537932877.4601051	9227162.755942
2001	512721805.4789527	9004761.452809
2002	537916061.8812956	9570616.586056
2003	626789777.1261874	11173004.607779
2004	741179283.6989058	13537848.430986
2005	827060567.3147416	15164981.112236
2006	942333249.3014487	17742274.091077
2007	1090954942.2397501	20359753.336418
2008	1226409795.7698839	23431255.320841
2009	959135040.2959578	18792324.128561
2010	1158739850.0044007	22779267.39047
2011	1360457223.177921	27571995.553958
2012	1354372179.4400263	27251539.425035
2013	1204648957.7238708	28177063.219572
2014	1222016289.1991954	28048119.085654
2015	1086077306.7041833	24446402.974666
2016	1063284136.4829233	19479483.216112
